source_id,target_id,department
79,83,Departamento de Bioingeniería e Ingeniería Química
7,10,Departamento de Ingeniería Civil y Ambiental
7,37,Departamento de Ingeniería Civil y Ambiental
7,42,Departamento de Ingeniería Civil y Ambiental
7,64,Departamento de Ingeniería Civil y Ambiental
7,72,Departamento de Ingeniería Civil y Ambiental
7,84,Departamento de Ingeniería Civil y Ambiental
10,37,Departamento de Ingeniería Civil y Ambiental
10,42,Departamento de Ingeniería Civil y Ambiental
10,64,Departamento de Ingeniería Civil y Ambiental
10,72,Departamento de Ingeniería Civil y Ambiental
10,84,Departamento de Ingeniería Civil y Ambiental
37,42,Departamento de Ingeniería Civil y Ambiental
37,64,Departamento de Ingeniería Civil y Ambiental
37,72,Departamento de Ingeniería Civil y Ambiental
37,84,Departamento de Ingeniería Civil y Ambiental
42,64,Departamento de Ingeniería Civil y Ambiental
42,72,Departamento de Ingeniería Civil y Ambiental
42,84,Departamento de Ingeniería Civil y Ambiental
64,72,Departamento de Ingeniería Civil y Ambiental
64,84,Departamento de Ingeniería Civil y Ambiental
72,84,Departamento de Ingeniería Civil y Ambiental
9,22,Departamento de Ciencia de la Computación
9,24,Departamento de Ciencia de la Computación
9,31,Departamento de Ciencia de la Computación
9,33,Departamento de Ciencia de la Computación
9,45,Departamento de Ciencia de la Computación
9,50,Departamento de Ciencia de la Computación
9,52,Departamento de Ciencia de la Computación
9,70,Departamento de Ciencia de la Computación
9,75,Departamento de Ciencia de la Computación
9,76,Departamento de Ciencia de la Computación
9,81,Departamento de Ciencia de la Computación
22,24,Departamento de Ciencia de la Computación
22,31,Departamento de Ciencia de la Computación
22,33,Departamento de Ciencia de la Computación
22,45,Departamento de Ciencia de la Computación
22,50,Departamento de Ciencia de la Computación
22,52,Departamento de Ciencia de la Computación
22,70,Departamento de Ciencia de la Computación
22,75,Departamento de Ciencia de la Computación
22,76,Departamento de Ciencia de la Computación
22,81,Departamento de Ciencia de la Computación
24,31,Departamento de Ciencia de la Computación
24,33,Departamento de Ciencia de la Computación
24,45,Departamento de Ciencia de la Computación
24,50,Departamento de Ciencia de la Computación
