source_id,target_id,source_name,target_name,weight
87,86,Eunice Villicaña Ortiz,Rafael Vera Pomalaza,0.8817999958992004
74,9,Yamilet Rosario Serrano Llerena,Jesús Edwin Bellido Angulo,0.8687000274658203
81,52,Jorge Tipe Villanueva,Angel Napa Bernuy,0.8605999946594238
10,7,Carlos Alberto Benedetty Torres,Luis Bedriñana Mera,0.847100019454956
23,63,Alberto Donayre Torres,Alejandra Ratti Parandelli,0.8346999883651733
68,23,Ursula Rodriguez Zuñiga,Alberto Donayre Torres,0.8334000110626221
31,33,Jorge Gonzalez Reaño,Juan Gabriel Gutierrez Alva,0.8330000042915344
12,40,Jhedmar Jhonatan Callupe Luna,Dante Inga Narvaez,0.8319000005722046
85,43,Emir Augusto Vela Saavedra,Wangdo Kim,0.8277000188827515
60,87,Elmer Ramirez Quiroz,Eunice Villicaña Ortiz,0.8192999958992004
4,54,Sergio Aranda Egusquiza,Moises Nuñez Ochoa,0.8177000284194946
41,61,Elvis Jara Alegria,Oscar Ramos Ponce,0.8166000247001648
23,6,Alberto Donayre Torres,Andrés Julián Arias Moreno,0.8144999742507935
12,13,Jhedmar Jhonatan Callupe Luna,Ruth Canahuire Cabello,0.8101000189781189
11,19,Juan Bueno Villanueva,Jose De La Puente Maldonado,0.8029999732971191
9,45,Jesús Edwin Bellido Angulo,Cristian Lopez Del Alamo,0.7926999926567078
33,81,Juan Gabriel Gutierrez Alva,Jorge Tipe Villanueva,0.791700005531311
40,13,Dante Inga Narvaez,Ruth Canahuire Cabello,0.7886000275611877
70,45,Heider Sánchez Enriquez,Cristian Lopez Del Alamo,0.7874000072479248
26,34,Luis Ernesto Flores Luyo,Julio Gutierrez Alva,0.7835999727249146
9,33,Jesús Edwin Bellido Angulo,Juan Gabriel Gutierrez Alva,0.7825999855995178
44,3,Jose Larco Martinelli,Claudia Antonini Bova,0.7814000248908997
12,39,Jhedmar Jhonatan Callupe Luna,Deyby Huamanchahua Canchanya,0.7807999849319458
31,24,Jorge Gonzalez Reaño,Jose Fiestas Iquira,0.7799000144004822
8,2,Omar Bejarano Grández,Helard Alvarez Sanchez,0.7788000106811523
60,86,Elmer Ramirez Quiroz,Rafael Vera Pomalaza,0.774399995803833
40,39,Dante Inga Narvaez,Deyby Huamanchahua Canchanya,0.7738000154495239
45,74,Cristian Lopez Del Alamo,Yamilet Rosario Serrano Llerena,0.7731999754905701
45,22,Cristian Lopez Del Alamo,Manuel Arturo Deza Figueroa,0.7720000147819519
76,45,Aurea Rossy Soriano Vargas,Cristian Lopez Del Alamo,0.7705000042915344
29,11,Oscar Gamonal Pajares,Juan Bueno Villanueva,0.7681999802589417
70,9,Heider Sánchez Enriquez,Jesús Edwin Bellido Angulo,0.7674000263214111
13,39,Ruth Canahuire Cabello,Deyby Huamanchahua Canchanya,0.767300009727478
13,85,Ruth Canahuire Cabello,Emir Augusto Vela Saavedra,0.767300009727478
68,63,Ursula Rodriguez Zuñiga,Alejandra Ratti Parandelli,0.7671999931335449
31,9,Jorge Gonzalez Reaño,Jesús Edwin Bellido Angulo,0.765999972820282
74,70,Yamilet Rosario Serrano Llerena,Heider Sánchez Enriquez,0.7642999887466431
38,58,Rocío Hoyos Diaz,Alexander Peña Nevado,0.7613000273704529
41,22,Elvis Jara Alegria,Manuel Arturo Deza Figueroa,0.7608000040054321
41,70,Elvis Jara Alegria,Heider Sánchez Enriquez,0.7605999708175659
41,45,Elvis Jara Alegria,Cristian Lopez Del Alamo,0.7601000070571899
70,76,Heider Sánchez Enriquez,Aurea Rossy Soriano Vargas,0.7587000131607056
8,47,Omar Bejarano Grández,José Luis Mantari Laureano,0.7581999897956848
29,19,Oscar Gamonal Pajares,Jose De La Puente Maldonado,0.7562999725341797
20,1,José Andrés De Leo Martínez,Grace Alexandrino Ocaña,0.7516000270843506
84,7,Elba Rosaura Vazques Arrieta,Luis Bedriñana Mera,0.7508999705314636
52,33,Angel Napa Bernuy,Juan Gabriel Gutierrez Alva,0.7505999803543091
41,76,Elvis Jara Alegria,Aurea Rossy Soriano Vargas,0.7491999864578247
11,26,Juan Bueno Villanueva,Luis Ernesto Flores Luyo,0.7484999895095825
22,76,Manuel Arturo Deza Figueroa,Aurea Rossy Soriano Vargas,0.7450000047683716
18,48,Antuané De La Flor Basterrechea,Giancarlo Marcone Flores,0.7444999814033508
62,8,José Ramos Saravia,Omar Bejarano Grández,0.7425000071525574
53,87,Julien Noel,Eunice Villicaña Ortiz,0.7422000169754028
21,73,Jose Gerardo Deustua Rossel,José Santiváñez Guarniz,0.7419999837875366
22,61,Manuel Arturo Deza Figueroa,Oscar Ramos Ponce,0.7386000156402588
53,86,Julien Noel,Rafael Vera Pomalaza,0.7361999750137329
12,41,Jhedmar Jhonatan Callupe Luna,Elvis Jara Alegria,0.7350999712944031
2,47,Helard Alvarez Sanchez,José Luis Mantari Laureano,0.7346000075340271
38,59,Rocío Hoyos Diaz,Sergio Quispe Rodriguez,0.7336000204086304
63,69,Alejandra Ratti Parandelli,Harry Gustavo Saavedra Espinoza,0.7317000031471252
74,33,Yamilet Rosario Serrano Llerena,Juan Gabriel Gutierrez Alva,0.7312999963760376
27,41,Christian Flores Vega,Elvis Jara Alegria,0.7293999791145325
18,20,Antuané De La Flor Basterrechea,José Andrés De Leo Martínez,0.7282999753952026
20,48,José Andrés De Leo Martínez,Giancarlo Marcone Flores,0.7268000245094299
74,12,Yamilet Rosario Serrano Llerena,Jhedmar Jhonatan Callupe Luna,0.7268000245094299
6,68,Andrés Julián Arias Moreno,Ursula Rodriguez Zuñiga,0.7250000238418579
55,11,Maria Belén Ortiz García,Juan Bueno Villanueva,0.7214999794960022
80,54,Jimmy Tarrillo Olano,Moises Nuñez Ochoa,0.718999981880188
25,57,Elena Flores Barreda,Carolina Parada Quinaya,0.7188000082969666
34,74,Julio Gutierrez Alva,Yamilet Rosario Serrano Llerena,0.7185999751091003
24,9,Jose Fiestas Iquira,Jesús Edwin Bellido Angulo,0.7172999978065491
1,48,Grace Alexandrino Ocaña,Giancarlo Marcone Flores,0.7156999707221985
23,40,Alberto Donayre Torres,Dante Inga Narvaez,0.7121000289916992
23,43,Alberto Donayre Torres,Wangdo Kim,0.7088000178337097
79,68,Francisco Tarazona Vásquez,Ursula Rodriguez Zuñiga,0.7062000036239624
81,70,Jorge Tipe Villanueva,Heider Sánchez Enriquez,0.7060999870300293
51,32,Monica Cristina Moreno Brush,Leo Guerrero,0.7055000066757202
26,74,Luis Ernesto Flores Luyo,Yamilet Rosario Serrano Llerena,0.7045999765396118
6,43,Andrés Julián Arias Moreno,Wangdo Kim,0.7010999917984009
31,74,Jorge Gonzalez Reaño,Yamilet Rosario Serrano Llerena,0.7002999782562256
62,2,José Ramos Saravia,Helard Alvarez Sanchez,0.6998000144958496
17,33,Fabien Cornillier,Juan Gabriel Gutierrez Alva,0.6995000243186951
27,12,Christian Flores Vega,Jhedmar Jhonatan Callupe Luna,0.6992999911308289
26,55,Luis Ernesto Flores Luyo,Maria Belén Ortiz García,0.6984999775886536
6,25,Andrés Julián Arias Moreno,Elena Flores Barreda,0.696399986743927
22,70,Manuel Arturo Deza Figueroa,Heider Sánchez Enriquez,0.6955999732017517
85,40,Emir Augusto Vela Saavedra,Dante Inga Narvaez,0.6949999928474426
81,16,Jorge Tipe Villanueva,Xyoby Chavez Pacheco,0.6935999989509583
24,33,Jose Fiestas Iquira,Juan Gabriel Gutierrez Alva,0.6929000020027161
4,11,Sergio Aranda Egusquiza,Juan Bueno Villanueva,0.6926000118255615
17,74,Fabien Cornillier,Yamilet Rosario Serrano Llerena,0.6916000247001648
13,23,Ruth Canahuire Cabello,Alberto Donayre Torres,0.6904000043869019
31,17,Jorge Gonzalez Reaño,Fabien Cornillier,0.6895999908447266
26,19,Luis Ernesto Flores Luyo,Jose De La Puente Maldonado,0.6886000037193298
